buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
13,483.2473572166554,142.8298395960188,2.2806272191492116,9.02614434621026,49.438932217484634,455,7889,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,231.71005574292724,88.629536164129,13.721299987439096,63.071632506469435,95.71314603502279,1764,7889,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
15,223.59238886243222,60.72379385338128,13.834121089547594,66.40437030556089,96.80846507847264,2948,7889,18.0,0.8,5556.0,,BU05180702,36.6,44.8,372.0,3.4,38.5,24.6,Vissershaven
16,164.40798908166036,67.93565666023068,26.990098713096213,83.52407453802952,98.47762546399314,3146,7889,22.0,0.6,8795.0,,BU05180703,37.9,46.0,405.0,4.9,34.7,27.9,Scheveningen Badplaats
17,309.2208837261672,118.55179802224015,9.887173231707887,41.12731799447107,85.45359680753464,2213,7889,21.0,0.6,15034.0,,BU05180704,34.4,42.3,376.0,6.5,43.5,21.4,Visserijbuurt
18,228.18396095142728,75.93716228177152,8.67795988489224,65.38881232418962,97.17225439138257,940,7889,18.0,0.6,7060.0,,BU05180772,40.0,48.4,478.0,4.7,38.6,28.7,Rijslag
19,609.3173538735432,110.96496522756846,0.6176168780967964,7.093358749113236,36.11005142098735,2719,7889,11.0,0.7,6343.0,,BU05180800,28.6,35.8,331.0,4.1,42.4,16.1,Duindorp
20,232.2663709597991,67.51380251874272,12.7904819329588,63.416822015503726,95.73196831911498,5180,7889,24.0,0.7,10350.0,,BU05180907,54.2,70.9,674.0,4.6,31.1,41.2,Statenkwartier
21,246.31734789576421,81.1301338731647,12.56447516854238,57.02997593133783,95.05948663747061,2289,7889,18.0,0.7,14028.0,,BU05180908,33.7,41.9,391.0,3.8,37.6,23.0,Geuzenkwartier
22,241.40739607508263,71.92435910620888,6.313583775873039,63.827218130678645,94.44136285307538,407,7889,23.0,1.0,835.0,,BU05181041,64.6,78.6,896.0,6.1,25.4,46.6,Zorgvliet
23,227.88033050324458,87.39765675061881,12.575091388114123,62.99991947636988,96.90902520948168,1634,7889,23.0,0.6,12965.0,,BU05181142,44.6,54.5,448.0,4.6,25.4,37.7,Stadhoudersplantsoen
24,189.51133041135898,55.84513567839901,20.18948452140746,74.60810620086974,99.0629964379237,3033,7889,24.0,0.6,13825.0,,BU05181143,51.1,63.9,554.0,4.0,28.8,41.2,Sweelinckplein e.o.
25,915.8026815755783,204.83574408371516,0.0,0.0,4.942951106952232,1107,7889,15.0,0.9,8155.0,,BU05181250,41.5,50.1,491.0,1.2,27.4,35.1,Bloemenbuurt-West
26,376.82133490866283,103.03772311682694,4.317450620499436,31.175683120920485,73.60765640410682,3207,7889,19.0,0.7,10879.0,,BU05181251,37.6,46.3,391.0,2.8,30.4,30.7,Bloemenbuurt-Oost
27,191.15643539585005,50.682028713691686,25.36764014922015,72.41937238933872,98.65603571724884,3433,7889,22.0,0.6,11608.0,,BU05181252,37.0,45.6,396.0,4.1,33.7,29.7,Bomenbuurt
28,733.4951411144372,204.8512589696486,1.138484331369427,9.963191107053529,43.9445390047018,2076,7889,17.0,1.2,2050.0,,BU05181309,52.3,69.6,868.0,2.2,30.9,45.9,Vogelwijk
29,1454.1596969245518,310.18044565919314,0.0,1.9691674362735334,4.0163217017064134,210,7889,20.0,0.9,824.0,,BU05181481,,,437.0,2.0,27.6,32.2,Bosjes van Pex
30,1834.5921431297006,714.356985023816,0.0,0.478680950205667,7.158620843994794,2968,7889,20.0,0.7,5882.0,,BU05181492,39.1,44.3,361.0,2.6,33.9,25.9,Bohemen en Meer en Bos
31,2404.9031887410765,1254.0953465806274,0.0,0.0,9.397365722121712,550,7889,22.0,1.3,377.0,,BU05181590,52.6,63.7,566.0,3.3,32.2,38.2,Ockenburgh
32,2029.1393124182473,1118.3833999432802,3.723052057881955,16.893010784110572,22.53993723795912,1002,7889,13.0,0.9,1628.0,,BU05181591,45.2,52.6,644.0,2.1,32.7,33.2,Kijkduin
33,2356.6847230062203,1375.3214927218828,1.2060683349354182,6.042490504835643,17.73717363672538,3319,7889,25.0,1.1,3198.0,,BU05181697,41.0,54.6,526.0,4.5,30.4,34.2,Kraayenstein en Vroondaal
34,1505.048471327963,813.8873487494022,0.9986195275366104,1.1983434330439324,1.442464442901477,201,7889,49.0,,190.0,,BU05181785,,,82.0,,,,Kerketuinen en Zichtenburg
35,1274.193599797591,766.6131763828394,1.7836728371972468,10.401464794570382,29.531687014573322,5534,7889,31.0,0.8,8913.0,,BU05181786,30.0,37.1,338.0,3.6,39.2,17.8,Houtwijk
36,1890.0527416576767,1131.986105800161,0.3442831008639941,2.662822538598936,16.55373208168239,2997,7889,21.0,0.6,11049.0,,BU05181795,29.3,34.2,252.0,3.6,42.5,12.4,Kom Loosduinen
37,1974.3251613418558,1072.0316067869758,0.0,1.4305906513171767,9.919861699166386,1194,7889,31.0,0.6,9895.0,,BU05181806,28.0,33.5,253.0,5.1,46.0,12.7,Waldeck-Zuid
38,1676.9330211848114,741.9860029441561,0.0,0.09895542409168977,4.868247483281075,3640,7889,32.0,0.7,11952.0,,BU05181840,24.9,31.2,270.0,6.0,48.6,10.0,Nieuw Waldeck
39,1285.9140632218623,302.7565874299204,0.410456995575515,0.6156854933632725,1.9089935511868785,1995,7889,25.0,0.6,6593.0,,BU05181882,33.6,38.4,302.0,4.1,38.6,18.3,Rosenburg
40,1702.421261849214,543.1841265560097,0.0,1.0147985981305363,2.9030369272454615,1166,7889,19.0,0.7,12360.0,,BU05181893,39.8,45.7,384.0,1.4,27.9,27.7,Componistenbuurt
41,2051.80337420361,1037.6443733518945,1.2185588806153267,6.6659301477728246,11.256179490429712,2180,7889,21.0,0.7,9393.0,,BU05181894,35.1,38.3,278.0,2.4,35.4,17.0,Waldeck-Noord
