identificatie,lat,lon,gebruiksdoel,activity_function_count,oppervlakte_m2
0518010000365835,52.073752279839084,4.319093309493492,"winkelfunctie,woonfunctie",1,58
0518010000369557,52.0768760546105,4.307063739841252,kantoorfunctie,1,811
0518010000368617,52.08966321124999,4.3147395242761934,"kantoorfunctie,woonfunctie",1,278
0518010000363095,52.065107954452266,4.284872710421092,"kantoorfunctie,woonfunctie",1,69
0518010000367842,52.10823047098069,4.281379409728407,winkelfunctie,1,35
0518010000365849,52.07381527433322,4.265034909038466,"winkelfunctie,woonfunctie",1,129
0518010000365859,52.07319315213078,4.308475460043926,kantoorfunctie,1,27
0518010000367857,52.08869409299302,4.316036104777249,onderwijsfunctie,1,7556
0518010000368665,52.08821538212522,4.255215824678573,"winkelfunctie,woonfunctie",1,85
0518010000368667,52.11077418595219,4.287985628544879,winkelfunctie,1,64
0518010000363995,52.08856567069911,4.305892510573763,kantoorfunctie,1,739
0518010000366930,52.10590668040017,4.2740795540954375,"winkelfunctie,woonfunctie",1,118
0518010000370578,52.06328143445995,4.331321398769953,"winkelfunctie,woonfunctie",1,75
0518010000364013,52.06053183046854,4.329909694169486,winkelfunctie,1,83
0518010000368712,52.08665795189817,4.310956399678445,winkelfunctie,1,32
0518010000366943,52.06998378227171,4.281869005217446,winkelfunctie,1,185
0518010000368721,52.08116064212283,4.326349158756731,kantoorfunctie,1,33116
0518010000364933,52.07823704932885,4.276226471766439,sportfunctie,1,242
0518010000366969,52.04923872686196,4.274956542010446,winkelfunctie,1,86
0518010000368755,52.079054319625406,4.3073704771737535,bijeenkomstfunctie,1,140
0518010000369695,52.07316141973369,4.27687301070587,"kantoorfunctie,woonfunctie",1,104
0518010000370646,52.06884157281403,4.289797744914938,winkelfunctie,1,80
0518010000364973,52.08080456177062,4.318892238766167,bijeenkomstfunctie,1,55
0518010000365981,52.07132738450852,4.3122545683825475,winkelfunctie,1,72
0518010000365989,52.079512450618154,4.306506968604872,kantoorfunctie,1,45
0518010000368788,52.084440548060904,4.3147951691432525,"kantoorfunctie,woonfunctie",1,271
0518010000371454,52.100743341181,4.271356046617902,winkelfunctie,1,301
0518010000363277,52.064115402482194,4.273260864318743,"kantoorfunctie,woonfunctie",1,86
0518010000364160,52.09233873920237,4.3090929582276365,kantoorfunctie,1,264
0518010000364172,52.083208204061926,4.290432568449841,"kantoorfunctie,woonfunctie",1,216
0518010000365083,52.09519804581632,4.3606469437100985,bijeenkomstfunctie,1,79
0518010000364190,52.06047521783664,4.330118835426411,winkelfunctie,1,130
0518010000368862,52.0733356945745,4.303579773075707,bijeenkomstfunctie,1,73
0518010000371534,52.07922618293518,4.308222024633704,"winkelfunctie,woonfunctie",1,139
0518010000366106,52.090978729831626,4.3055743337017285,"kantoorfunctie,woonfunctie",1,319
0518010000363372,52.076229539847716,4.262816576403728,winkelfunctie,1,215
0518010000368896,52.088729671421966,4.310237204459545,bijeenkomstfunctie,1,58
0518010000368103,52.078880982191805,4.3055184735272185,"winkelfunctie,woonfunctie",1,130
0518010000369859,52.08608981582643,4.309480669304156,kantoorfunctie,1,299
0518010000368109,52.08252359645743,4.30046227451608,bijeenkomstfunctie,1,73
0518010000369861,52.08140237258182,4.319785708568922,kantoorfunctie,1,254
0518010000371566,52.06839996487084,4.293015873694537,winkelfunctie,1,82
0518010000366136,52.05371012787466,4.236803782983311,winkelfunctie,1,175
0518010000370817,52.06174473736344,4.284036313533609,"winkelfunctie,woonfunctie",1,105
0518010000370823,52.11318960004571,4.280789034468252,bijeenkomstfunctie,1,29
0518010000370825,52.11328615508607,4.280933476556918,bijeenkomstfunctie,1,29
0518010000365145,52.1045516819751,4.275757982830084,bijeenkomstfunctie,1,138
0518010000365147,52.07603270479162,4.308201750839271,winkelfunctie,1,63
0518010000365151,52.088740286284484,4.308367000421735,"winkelfunctie,woonfunctie",1,115
0518010000370837,52.095439783287944,4.3570605041956405,onderwijsfunctie,1,2128
0518010000370845,52.07763426828598,4.3025935563931705,"winkelfunctie,woonfunctie",1,86
0518010000369903,52.08317711702236,4.2885390252043205,"winkelfunctie,woonfunctie",1,133
0518010000368987,52.10335914317907,4.277276322991061,"winkelfunctie,woonfunctie",1,64
0518010000367185,52.045834233956896,4.288860194858272,bijeenkomstfunctie,1,115
0518010000371638,52.05693171734889,4.246409771738257,"winkelfunctie,woonfunctie",1,223
0518010000371646,52.08655085063614,4.306670806536715,kantoorfunctie,1,887
0518010000367203,52.04597992716378,4.288650399186378,winkelfunctie,1,61
0518010000370909,52.063073297702594,4.255563922415991,"winkelfunctie,woonfunctie",1,80
0518010000366242,52.08513855019754,4.3328523815712705,onderwijsfunctie,1,8609
0518010000370915,52.101449877541455,4.284618748723746,kantoorfunctie,1,822
0518010000368211,52.08252131203497,4.30650311685296,kantoorfunctie,1,419
0518010000367255,52.050281827907305,4.272329187603028,bijeenkomstfunctie,1,115
