buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
62,136.5665196232006,29.799222947897203,35.410418780238054,91.71267441054158,99.96014905534325,1907,1883,32.0,0.6,4490.0,,BU05182812,54.5,62.1,522.0,5.4,30.6,34.9,Voorhout
63,136.63839590581588,21.906632543229694,33.93103478113208,92.786957589235,100.0,2455,1883,49.0,0.9,14243.0,,BU05182813,41.5,48.6,388.0,5.5,35.5,31.7,Uilebomen
64,143.49200664540956,35.52069994942149,32.86141236303094,90.21893606867614,99.8274685999523,4458,1883,47.0,0.3,14974.0,,BU05182814,31.1,35.5,282.0,7.6,46.3,16.3,Zuidwal
65,202.64643531439674,27.391027669043215,21.852933818462713,69.51571037951572,98.28373924149524,6050,1883,79.0,0.5,22143.0,,BU05182915,21.1,27.2,243.0,10.1,57.8,7.3,Schildersbuurt-West
66,247.85119388771813,45.602559606111605,9.576558310843403,53.84840340747258,98.47366496099907,4253,1883,82.0,0.5,20794.0,,BU05182916,19.8,25.8,237.0,11.1,63.2,6.2,Schildersbuurt-Noord
67,268.2240515745526,50.24952872411957,8.610314330588677,44.26915272950911,96.49652869136264,2632,1883,86.0,0.5,19495.0,,BU05182917,18.9,24.8,248.0,11.3,62.7,5.1,Schildersbuurt-Oost
68,165.3707675803907,47.22053375612146,22.377312657186085,86.21383116655261,99.9851383679864,1801,1883,76.0,0.5,21781.0,,BU05183032,20.3,26.2,221.0,12.6,60.4,5.9,Transvaalkwartier-Noord
69,135.7258621249908,33.61528406221039,32.22071885266504,95.16338850263341,99.99014100370887,1853,1883,74.0,0.6,18322.0,,BU05183033,21.2,28.9,266.0,9.5,51.9,8.6,Transvaalkwartier-Midden
70,131.60894520044212,20.26235861079347,37.865955109217644,92.77060961712989,99.99566559799577,2573,1883,64.0,0.6,20311.0,,BU05183034,21.7,28.7,280.0,9.5,51.3,7.3,Transvaalkwartier-Zuid
71,160.2955054950693,35.187541133081346,24.684661142441282,86.81177241652547,99.98693405491069,3024,1883,32.0,0.6,18196.0,,BU05183130,26.8,32.9,244.0,5.1,41.1,11.2,Rustenburg
72,143.4426836207717,34.34749325077468,30.75357730450989,92.38626390606869,99.98262100286256,2081,1883,40.0,0.6,20438.0,,BU05183131,26.7,33.2,245.0,6.0,40.2,11.4,Oostbroek-Noord
73,130.6470392602003,24.70123502402111,34.89659489348808,95.69748133229058,99.98097646009113,3470,1883,41.0,0.5,22108.0,,BU05183135,24.4,31.0,237.0,6.4,42.8,8.8,Oostbroek-Zuid
74,142.5715448742231,8.42680957673877,32.46413474943788,90.72913621249324,99.9573727855639,8463,1883,30.0,0.6,13219.0,,BU05183284,29.9,36.1,258.0,3.9,36.5,15.2,Leyenburg
75,404.02879932296355,52.31993325830073,1.8007479640944302,14.991628189271733,76.74223056560741,3612,1883,69.0,0.6,10608.0,,BU05183387,21.1,28.2,236.0,8.6,55.2,7.6,"Venen, Oorden en Raden"
76,439.3938751291433,41.47998146264171,4.691390806632442,18.328923299574836,56.161236424394325,3420,1883,65.0,0.7,8159.0,,BU05183396,23.1,30.0,223.0,6.5,50.4,9.0,"Zijden, Steden en Zichten"
77,391.29645219616447,141.72286351006755,5.221244438661486,34.98628587230032,72.46133524349482,4759,1883,65.0,0.6,11094.0,,BU05183398,22.8,30.0,243.0,8.0,51.7,9.6,Dreven en Gaarden
78,860.2077886778701,120.94241491913111,11.346258790348879,11.612186730747679,23.135730814695755,943,1883,27.0,0.7,1597.0,,BU05183399,37.9,46.6,447.0,4.9,48.1,23.6,De Uithof
79,335.1605136815287,100.54405604524555,7.029928812482873,35.257710507723594,84.12470429199054,3124,1883,61.0,0.6,14030.0,,BU05183480,23.0,29.5,198.0,8.5,50.8,7.3,Morgenstond-Zuid
80,253.66739374301645,56.01619457826417,14.512563691122272,54.030541283209466,93.80884002541276,3627,1883,63.0,0.7,13067.0,,BU05183488,27.1,35.0,289.0,4.7,43.2,15.6,Morgenstond-West
81,182.13163035645394,29.519818541387092,19.354067635800945,80.45382017969209,99.74371528899184,3537,1883,61.0,0.5,10249.0,,BU05183489,24.3,30.7,207.0,7.7,51.0,9.4,Morgenstond-Oost
82,157.34341132751143,64.9406082018002,0.0,90.32510792236951,99.98895800360705,101,1883,32.0,0.5,158.0,,BU05183536,23.8,24.8,188.0,11.2,64.5,3.9,Zuiderpark
83,570.9445622812362,61.706213956384424,0.0,2.411763128857807,32.42791806198638,1763,1883,68.0,0.6,8739.0,,BU05183620,22.6,29.9,210.0,10.0,52.9,8.3,Moerwijk-Oost
84,341.0578198360513,79.28019471679353,5.749560227251479,29.864640928567354,85.69248685795856,3323,1883,71.0,0.5,12435.0,,BU05183637,19.6,25.6,181.0,10.0,62.4,4.4,Moerwijk-West
85,196.6245679633664,43.38970681626446,19.821927682582437,74.15119806443707,97.5961456099962,3224,1883,55.0,0.5,15140.0,,BU05183638,22.9,29.1,217.0,8.3,50.3,7.5,Moerwijk-Noord
86,614.7382824556155,137.4595933006085,0.0,0.0,27.689966336468537,2420,1883,71.0,0.6,11286.0,,BU05183639,23.8,32.0,218.0,8.9,50.6,11.3,Moerwijk-Zuid
87,256.7764388946424,21.27598801112631,5.5929446626488835,45.07162937841684,99.59820108993657,1723,1883,71.0,0.9,16462.0,,BU05183721,22.2,29.2,286.0,9.2,50.2,9.1,Groente- en Fruitmarkt
88,198.1529247141711,49.34878469287029,22.187712496682877,71.09859780481187,99.60465161286726,3238,1883,65.0,0.3,18197.0,,BU05183819,24.6,29.1,211.0,7.5,54.8,11.7,Laakhaven-Oost
89,204.27227548281493,65.87304421705343,17.84181868205696,73.46340575614548,98.32926323811799,3735,1883,70.0,0.5,12794.0,,BU05183822,26.8,32.8,228.0,7.7,46.0,12.0,Laakhaven-West
90,284.7949783502188,38.34541621498737,4.166327821711473,47.821092497594066,91.53558168347392,1613,1883,67.0,0.7,12341.0,,BU05183823,23.6,30.6,281.0,7.4,49.9,10.6,Spoorwijk
91,148.2575253509047,36.040126689701154,29.259853249016874,91.30376680386036,99.59361335904161,3517,1883,43.0,0.6,17760.0,,BU05183824,25.1,31.2,245.0,6.8,43.3,8.8,Laakkwartier-West
92,147.14658679422627,25.473112481582753,29.49023466952525,89.93494014017558,99.87997711820513,5184,1883,40.0,0.5,21126.0,,BU05183825,25.2,30.9,240.0,7.1,44.0,9.0,Laakkwartier-Oost
93,167.1751086364581,37.61528230731683,28.17264076941441,80.27767898082689,99.65621367858672,3924,1883,62.0,0.5,17089.0,,BU05183826,21.9,27.7,224.0,8.5,54.5,7.3,Noordpolderbuurt
94,220.52426147202198,70.92173834346822,28.656896365901563,62.72476131282553,92.03197796656453,1902,1883,55.0,1.1,1551.0,,BU05183960,49.6,59.6,309.0,2.9,18.3,44.4,Binckhorst
95,675.462034504039,79.81487964981673,0.0,0.0,21.43471488231191,1556,1883,52.0,1.0,4782.0,,BU05184001,34.7,44.6,429.0,4.1,35.1,26.2,Erasmus Veld
96,1288.4210913675122,62.711277160149365,0.0,0.0,0.0,3155,1883,49.0,1.1,9042.0,,BU05184002,33.3,46.4,481.0,4.2,35.5,29.2,Hoge Veld
97,1223.5725454087562,443.04342788280053,0.0,0.0,0.0,1066,1883,34.0,1.3,7617.0,,BU05184003,41.6,51.4,552.0,1.4,32.4,34.0,Parkbuurt oosteinde
98,608.4715992170916,155.71888645514392,0.0,1.6336646182636623,46.29053604093434,63,1883,13.0,,93.0,,BU05184106,43.1,52.8,700.0,,34.0,34.7,Vlietzoom-West
99,,,,,,0,0,,,,,BU05184107,,,,,,,Vliegeniersbuurt
100,933.6589145774857,654.2102339676521,0.0,0.0,35.10553068811167,350,1883,68.0,0.9,1436.0,,BU05184110,28.5,39.3,378.0,9.4,36.7,17.5,De Reef
101,1375.4085803033784,388.8274992636103,0.0,0.0,0.0,668,1883,25.0,1.5,2781.0,,BU05184208,54.3,71.9,819.0,3.0,32.2,47.7,Bosweide
