artifact_type,provider,city,date,path,size_bytes,modified_at_utc
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010045.tar.gz,79812,2026-02-28T23:45:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010047.tar.gz,79866,2026-02-28T23:47:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010049.tar.gz,80024,2026-02-28T23:49:39Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010051.tar.gz,80126,2026-02-28T23:51:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010053.tar.gz,80038,2026-02-28T23:53:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010055.tar.gz,79984,2026-02-28T23:55:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010056.tar.gz,79937,2026-02-28T23:56:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010058.tar.gz,79884,2026-02-28T23:58:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010000.tar.gz,14342,2026-02-28T23:00:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010001.tar.gz,14342,2026-02-28T23:01:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010002.tar.gz,14350,2026-02-28T23:02:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010003.tar.gz,14350,2026-02-28T23:03:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010004.tar.gz,14342,2026-02-28T23:04:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010005.tar.gz,14342,2026-02-28T23:05:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010006.tar.gz,14356,2026-02-28T23:06:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010007.tar.gz,14356,2026-02-28T23:07:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010008.tar.gz,14357,2026-02-28T23:08:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010009.tar.gz,14357,2026-02-28T23:09:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010010.tar.gz,14391,2026-02-28T23:10:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010011.tar.gz,14363,2026-02-28T23:11:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010012.tar.gz,14363,2026-02-28T23:12:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010013.tar.gz,14349,2026-02-28T23:13:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010014.tar.gz,14349,2026-02-28T23:14:42Z
